Name,10/2/2024,10/2/2024,10/10/2024,10/15/2024,10/15/2024,10/15/2024,10/24/2024,10/29/2024,11/5/2024,11/11/2024,11/18/2024,11/25/2024,12/2/2024,12/9/2024,12/16/2024,12/23/2024,12/30/2024,1/6/2025,1/13/2025,1/20/2025,1/27/2025,2/3/2025,2/10/2025,2/17/2025,2/24/2025,3/3/2025,3/17/2025,3/24/2025,3/31/2025,4/7/2025,4/14/2025,4/21/2025,4/28/2025,5/5/2025,5/12/2025,5/19/2025,5/26/2025,6/2/2025,6/9/2025,6/16/2025,6/23/2025,6/30/2025,7/7/2025,7/14/2025,7/21/2025,7/28/2025,8/4/2025,8/11/2025,8/18/2025,8/25/2025
easy_pdf_viewer,,644,644,643,608,585,596,602,609,613,617,617,607,590,591,596,595,596,617,617,607,605,603,603,603,600,663,669,667,667,665,665,667,667,669,672,673,670,668,669,665,664,663,660,658,661,659,660,663,658
eventflux,,698,706,704,669,645,663,668,676,684,692,700,703,734,739,751,758,761,786,787,783,781,778,777,785,793,767,771,773,773,775,776,776,779,780,783,792,786,787,789,784,782,781,784,786,786,791,788,794,797
path_provider,,753,724,709,700,694,690,687,704,700,697,694,706,717,713,710,708,706,713,711,708,706,705,703,702,700,699,698,697,696,695,694,693,692,692,691,690,690,689,689,688,688,687,687,686,686,685,685,685,684
equatable,,751,780,751,733,721,713,707,721,716,727,721,717,730,726,723,719,717,724,721,727,724,722,719,717,715,714,712,711,709,708,707,705,704,703,702,701,701,700,699,698,697,697,696,695,695,694,694,693,693
crypto,,833,833,832,797,774,782,767,774,779,784,774,778,798,801,793,786,780,784,778,782,777,772,768,764,761,757,754,752,749,747,744,742,740,738,736,735,733,732,730,729,727,726,725,724,723,722,721,720,719
path,,747,776,790,764,747,759,768,756,763,770,761,753,771,764,759,754,749,755,750,746,743,748,744,741,739,736,734,732,730,728,726,724,723,721,720,719,718,716,715,714,713,712,711,710,710,709,708,707,707
flutter_bloc,,753,724,709,700,695,690,687,704,700,713,709,719,716,724,721,717,714,721,719,716,714,712,710,708,706,705,703,702,701,700,699,698,697,696,695,694,693,693,692,691,691,690,690,689,689,688,688,687,687
firebase_core,,660,688,702,676,659,672,680,687,692,697,686,691,872,864,857,850,854,858,861,856,859,854,850,846,842,838,835,832,829,827,824,822,820,818,816,814,812,811,809,807,806,805,803,802,801,800,799,798,797
cached_network_image,,753,724,710,701,695,691,688,685,683,682,681,679,690,688,687,686,694,702,710,715,713,711,709,707,706,704,703,702,700,699,698,697,696,695,695,694,693,692,692,691,690,690,689,689,688,688,687,687,686
image_picker,,754,724,710,701,695,691,688,685,684,682,681,680,690,700,708,706,704,712,709,715,713,711,709,714,712,710,709,707,706,705,704,702,701,700,699,699,698,697,696,695,695,694,693,692,692,691,691,691,690
sqflite,,750,779,750,732,721,712,729,721,715,711,707,703,715,723,719,716,723,730,727,732,729,734,731,736,733,731,735,733,730,728,726,725,723,727,725,724,727,725,724,723,721,720,719,721,720,719,718,717,716
permission_handler,,753,724,709,701,695,691,688,685,683,682,680,679,690,700,697,695,694,702,700,707,705,703,701,707,705,711,716,720,718,717,715,713,712,711,709,708,707,705,704,703,702,702,701,700,699,699,698,697,697
package_info_plus,,751,780,751,733,722,713,707,721,716,711,707,704,716,724,732,728,724,731,728,724,722,720,725,723,720,718,716,715,713,711,710,708,707,706,705,704,703,702,701,700,700,699,698,701,700,699,698,698,698
file_picker,,753,723,709,700,694,716,709,704,701,713,709,706,474,480,489,491,495,516,516,507,922,924,928,924,787,852,855,855,856,857,858,859,859,856,857,860,859,856,857,858,861,862,862,861,860,857,951,952,953
device_info_plus,,744,919,876,849,832,819,810,822,814,808,803,811,687,691,697,701,704,557,558,552,554,555,557,557,840,905,907,907,907,908,908,993,989,985,987,983,980,977,974,971,969,971,968,965,963,961,962,961,959
connectivity_plus,,751,722,707,699,693,714,708,703,699,696,693,691,702,699,697,695,693,702,709,715,712,710,708,707,626,694,698,699,702,705,708,789,787,790,788,786,785,783,781,780,778,777,776,774,777,776,774,774,773
bloc,,747,776,790,764,746,759,768,775,781,770,775,766,782,786,790,783,777,781,775,770,765,761,757,754,751,747,745,742,740,738,736,734,732,730,728,726,725,724,722,721,720,718,717,720,722,721,724,727,725
lottie,,752,722,708,699,693,689,686,703,699,696,693,691,620,763,760,768,765,773,779,775,772,770,775,779,777,775,773,771,769,767,766,764,763,761,761,759,758,757,756,755,754,753,752,751,751,750,749,749,749
share_plus,,752,781,752,735,723,715,708,703,700,696,694,705,713,722,718,725,721,729,725,730,727,724,722,720,725,723,727,725,729,727,730,728,726,725,723,722,720,718,717,716,715,713,712,711,710,709,708,711,710
flutter_lints,,746,775,789,763,746,758,746,755,763,753,745,739,755,761,755,761,755,761,765,768,763,760,756,760,763,760,763,760,757,754,757,754,752,749,696,699,783,781,779,777,775,773,772,770,768,767,765,764,763
logger,,750,720,706,697,691,712,705,720,714,709,705,702,713,710,707,714,711,720,717,722,728,725,722,720,725,723,721,719,723,721,725,728,726,725,723,722,720,719,718,716,715,714,713,712,711,710,709,712,711
dio,,753,724,709,700,694,715,709,723,718,713,709,705,715,712,709,707,704,633,638,776,773,771,775,779,783,786,790,787,785,782,785,788,786,788,786,789,791,790,788,786,784,782,785,787,789,790,792,793,795
geolocator,,753,724,709,701,695,691,687,704,701,697,695,693,701,710,707,715,712,640,643,645,649,652,655,659,667,733,735,736,737,739,825,822,819,822,819,816,813,811,813,811,809,807,805,807,805,803,801,804,802
flutter_riverpod,,750,778,749,732,720,712,727,739,731,725,720,715,726,722,729,737,742,668,670,807,811,807,803,800,797,801,805,808,805,802,805,802,800,797,795,793,791,789,787,786,784,783,781,779,778,776,778,777,776
firebase_messaging,,660,688,703,676,659,672,680,687,692,697,700,704,881,883,875,867,860,864,867,869,864,866,861,856,859,855,858,854,850,846,843,840,837,835,832,830,827,825,824,822,820,818,816,814,813,811,813,812,811
