Name,Mover Score,Pub Rank,All time high pub rank,All time low pub rank
package name,Calculated score based on all the other metrics,current rank,highest ever package rank,lowest ever package rank
http,745,1,1,840
uuid,940,2,1,2472
crypto,707,3,2,79
flutter_svg,875,4,3,869
dio,782,5,5,788
google_fonts,942,6,4,1584
equatable,723,7,2,326
path,700,8,5,67
firebase_core,781,9,7,798
flutter_launcher_icons,856,10,10,815
connectivity_plus,757,11,11,847
flutter_local_notifications,975,12,12,1702
flutter_bloc,699,13,5,21
flutter_lints,745,14,13,533
firebase_messaging,793,15,14,799
airplane_mode_checker,501,2996,1499,2996
lottie,762,17,10,811
riverpod,796,18,10,802
flutter_social_textfield,587,2150,2057,2440
shimmer,698,20,18,35
animations,715,21,19,47
logging,724,22,20,116
bloc,728,23,13,67
firebase_auth,803,24,22,794
shelf,728,25,23,136
carousel_slider,852,26,24,894
win32,723,27,25,154
qr_flutter,886,28,27,885
font_awesome_flutter,835,29,11,906
mocktail,731,30,28,152
firebase_analytics,807,31,29,837
mime,732,32,30,129
firebase_crashlytics,796,33,31,842
mobile_scanner,766,34,33,619
in_app_review,746,35,32,383
retry,725,36,35,109
app_links,735,37,34,77
flutter_dotenv,816,38,32,829
smooth_page_indicator,846,39,27,970
drift,862,40,37,1708
localstore,592,2143,453,2143
dotted_border,853,42,35,927
pinput,758,43,41,538
dropdown_button2,1018,44,41,2544
infinite_scroll_pagination,816,45,43,848
synchronized,764,46,44,164
timeago,1006,47,45,2584
characters,737,48,46,206
xml,832,49,47,956
badges,717,50,36,72
skeletonizer,854,51,49,983
dartx,795,52,50,613
melos,1017,53,51,2494
pin_code_fields,1063,54,52,2566
install_referrer,497,2977,1948,2977
petitparser,739,56,55,137
mask_text_input_formatter,899,57,54,944
wakelock_plus,806,58,56,960
real_volume,527,2974,1170,2976
email_validator,708,60,58,87
bloc_test,736,61,57,185
firebase_remote_config,811,62,60,905
barcode,776,63,62,585
confetti,725,64,64,103
slide_switcher,491,2971,1976,2971
injectable,829,66,55,955
google_mlkit_entity_extraction,536,2948,1298,2952
sensors_plus,734,68,66,140
very_good_analysis,844,69,67,1004
window_manager,884,70,53,1036
stack_trace,749,71,69,227
toggle_switch,725,72,64,100
gap,767,73,71,582
hooks_riverpod,767,74,72,919
hive_ce,950,75,74,1587
vibration,718,76,75,109
pretty_dio_logger,710,77,74,102
icons_launcher,765,78,75,223
bot_toast,895,79,77,986
yandex_geocoder,509,2942,1351,2951
animated_text_kit,840,81,62,985
code_builder,798,82,79,625
jwt_decoder,890,83,82,1000
yaml,746,84,83,208
showcaseview,843,85,80,958
bloc_concurrency,739,86,65,130
flutter_widget_from_html_core,766,87,85,620
envied,769,88,88,225
flutter_rust_bridge,751,89,87,303
after_layout,801,90,84,914
vsc_quill_delta_to_html,624,2140,1640,2812
http_parser,747,92,90,191
csv,1061,93,92,2638
talker,776,94,86,335
data_table_2,838,95,95,995
state_notifier,785,96,87,524
flex_color_picker,812,97,95,981
time,971,98,96,1676
material_color_utilities,863,99,98,739
flutter_blurhash,1049,100,75,2642
toastification,822,101,101,1117
decimal,739,102,100,179
flutter_form_builder,912,103,59,2536
in_app_update,716,104,99,144
photo_manager,1000,105,105,2587
flutter_gen,791,106,96,705
cloud_functions,823,107,103,938
sembast,868,108,95,1630
dart_jsonwebtoken,758,109,108,198
lint,755,110,97,315
flutter_staggered_animations,897,111,108,1067
ffigen,968,112,96,2707
hydrated_bloc,798,113,106,988
map_launcher,960,114,93,2693
desktop_drop,887,115,114,1065
flame,947,116,99,2653
signature,828,117,113,1089
android_intent_plus,727,118,111,155
string_scanner,871,119,115,1146
universal_io,848,120,118,1072
objectbox,912,121,115,1118
slang,921,122,122,2683
chopper,930,123,112,2631
dots_indicator,891,124,121,1021
another_flushbar,775,125,97,739
talker_flutter,832,126,108,1117
flutter_layout_grid,758,127,108,193
formz,793,128,116,998
flex_color_scheme,980,129,111,2287
hawk_fab_menu,605,2139,1734,2335
gal,751,131,126,225
group_button,767,132,127,272
flutter_gen_runner,749,133,128,311
readmore,738,134,80,169
flutter_timezone,839,135,133,1116
advanced_in_app_review,528,2929,717,2995
home_widget,762,137,137,246
flutter_flavorizr,1013,138,135,2728
flutter_chat_ui,834,139,109,1108
flutter_appauth,805,140,137,806
oauth2,779,141,132,703
mobx,794,142,109,746
expandable_page_view,770,143,137,754
country_code_picker,864,144,84,1092
diacritic,754,145,132,235
two_dimensional_scrollables,757,146,145,339
intl_phone_number_input,1008,147,147,2735
numberpicker,732,148,110,186
dio_cache_interceptor,860,149,132,1111
clipboard,885,150,145,1076
background_fetch,755,151,130,212
internet_connection_checker_plus,766,152,131,602
shelf_router,747,153,136,226
barcode_widget,728,154,148,196
multi_value_listenable_builder,625,2153,883,2471
animated_toggle_switch,729,156,151,200
restart_app,750,157,134,194
pub_semver,758,158,149,305
string_validator,820,159,141,834
shorebird_code_push,770,160,158,296
accessibility_tools,935,161,155,2749
crop_your_image,741,162,154,234
shelf_web_socket,872,163,152,1287
postgres,877,164,163,1293
flutter_card_swiper,749,165,163,240
sqflite_common_ffi,770,166,150,396
background_downloader,818,167,166,1092
ansicolor,783,168,161,560
gradient_borders,1061,169,169,2881
flutter_mobx,762,170,108,395
persian_number_utility,623,2137,858,2672
prompt_dialog,692,2135,1429,2953
cron,737,173,173,255
phone_numbers_parser,778,174,169,457
flutter_braintree,587,2134,330,2155
mqtt_client,731,176,167,218
convert,753,177,164,316
popover,804,178,165,897
flutter_statusbarcolor_ns,583,2133,1169,2133
loader_overlay,965,180,132,2717
graphs,783,181,172,409
super_tooltip,1033,182,181,2507
facebook_app_events,753,183,171,239
octo_image,755,184,52,325
resizable_widget,995,185,185,2190
flutter_udid,746,186,172,249
macos_ui,1020,187,187,2855
stop_watch_timer,750,188,175,240
flutter_polls,596,2131,529,2290
html_unescape,740,190,190,251
flutter_background_geolocation,985,191,175,2501
flutter_link_previewer,797,192,186,887
top_snackbar_flutter,894,193,190,1205
super_clipboard,770,194,194,371
pluto_grid,1071,195,193,2890
multicast_dns,785,196,192,429
sqlparser,640,2158,550,2321
alchemist,863,198,196,1155
super_sliver_list,885,199,199,1955
platform,741,200,196,278
link_text,499,2913,2046,2993
google_static_maps_controller,587,2128,1724,2257
flutter_redux,742,203,169,256
maps_toolkit,748,204,192,268
flutter_plugin_android_lifecycle,756,205,200,329
english_words,755,206,118,266
no_screenshot,784,207,204,428
flutter_polygon,618,2168,863,2545
root_jailbreak_sniffer,596,2170,1041,2170
live_activities,876,210,210,1503
oktoast,748,211,198,264
dart_frog,849,212,182,1275
random_string,758,213,143,288
stacked_card_carousel,588,2120,1787,2243
blur,828,215,203,1263
buffer,633,2171,778,2416
flutter_web_auth_2,771,217,215,406
auto_animated,751,218,201,299
android_id,758,219,213,290
postgrest,757,220,219,373
password_strength,753,221,216,438
flutter_flavor,740,222,203,276
device_region,607,2174,946,2245
smart_auth,787,224,192,452
copy_with_extension_gen,958,225,219,2086
flutter_fadein,591,2177,493,2301
multi_dropdown,789,227,222,934
flutter_styled_toast,790,228,175,894
vs_scrollbar,572,2179,2025,2392
custom_timer,573,2112,1477,2124
shelf_static,762,231,217,352
optimize_battery,631,2180,1036,2702
fluentui_system_icons,889,233,233,1304
platform_device_id,598,2109,203,2109
ionicons,822,235,169,1320
sprung,781,236,230,487
mason_cli,862,237,221,1449
google_mlkit_smart_reply,531,2882,1037,2882
brasil_fields,840,239,202,1240
curved_navigation_bar,757,240,88,296
flutter_contacts,820,241,141,996
firebase_performance,853,242,199,1017
shelf_proxy,755,243,224,303
flutter_displaymode,771,244,238,314
flutter_carousel_widget,744,245,239,329
country_flags,773,246,242,387
mini_music_visualizer,623,2182,1135,2663
any_link_preview,799,248,216,925
dio_cookie_manager,748,249,243,329
flutter_expandable_fab,786,250,231,935
responsive_sizer,760,251,189,333
app_badge_plus,976,252,252,2218
intercom_flutter,765,253,248,348
cli_util,904,254,239,1609
flutter_bounce,522,2873,488,2949
graphql_codegen,928,256,250,1795
json_path,756,257,220,312
just_audio_windows,574,2183,2183,2477
flutter_nfc_kit,843,259,255,1390
bdd_widget_test,882,260,212,1393
talker_dio_logger,815,261,256,1336
blurrycontainer,768,262,262,395
intl,979,263,254,2134
dart_ipify,760,264,219,324
flutter_slider_drawer,764,265,265,482
lucide_icons_flutter,918,266,261,1505
intl_phone_field,937,267,258,1911
mobile_device_identifier,602,2106,1361,2106
result_dart,1033,269,236,2963
multiple_result,782,270,261,498
native_video_player,610,2105,853,2225
form_builder_file_picker,591,2104,647,2137
url_launcher,855,273,3,862
multi_split_view,774,274,265,392
path_provider,663,275,2,311
flutter_reorderable_grid_view,854,276,271,1444
fading_edge_scrollview,758,277,261,396
web_socket_client,772,278,278,444
web_socket_channel,847,279,267,931
image_picker,671,280,2,280
cached_network_image,662,281,3,281
sqflite,685,282,9,282
android_alarm_manager_plus,852,283,248,1452
squadron,865,284,268,1396
go_router,835,285,275,881
permission_handler,663,286,5,286
shimmer_animation,827,287,150,1294
webview_flutter,784,288,14,876
json_serializable,813,289,11,893
file_picker,878,290,6,2445
json_annotation,832,291,282,882
package_info_plus,672,292,10,292
either_dart,897,293,287,1354
flutter_secure_storage,812,294,18,1477
share_plus,671,295,15,295
video_player,841,296,24,879
flutter_app_update,545,2868,597,2889
volume_controller,751,298,265,445
get_it,899,299,19,2359
elegant_notification,763,300,221,353
provider,715,301,1,535
dbus,957,302,296,1956
geolocator,734,303,6,889
logger,675,304,20,304
copy_with_extension,760,305,271,419
flutter_cache_manager,718,306,25,819
auto_size_text,822,307,301,892
latext,643,2103,1181,2496
awesome_snackbar_content,874,309,176,2148
google_mlkit_digital_ink_recognition,623,2102,750,2102
archive,840,311,33,914
camera_web,852,312,254,1343
flag,753,313,259,393
google_sign_in,669,314,19,314
sqflite_common,782,315,273,561
built_value,774,316,34,604
cloud_firestore,785,317,33,802
cider,807,318,290,874
google_maps_flutter,742,319,14,616
replay_bloc,848,320,281,1455
get,823,321,315,895
flutter_animate,809,322,32,910
just_audio_background,581,2100,259,2136
native_flutter_proxy,658,2098,1078,2407
kiwi,765,325,253,486
blurhash_dart,753,326,278,431
just_audio,757,327,36,1465
local_auth,670,328,34,328
photo_view,832,329,322,902
simple_html_css,754,330,279,407
filesize,751,331,282,434
cupertino_icons,814,332,326,911
enhance_stepper,578,2097,1823,2246
audioplayers,759,334,26,919
persistent_bottom_nav_bar_v2,936,335,267,2157
test,956,336,331,2689
google_api_availability,750,337,283,407
async,1009,338,333,2804
camera,686,339,29,340
html,858,340,336,1521
easy_stepper,826,341,195,1315
signals,854,342,307,1427
sign_in_with_apple,677,343,35,345
animated_list_plus,750,344,287,458
pub_updater,756,345,300,426
glass_kit,917,346,296,1700
regexpattern,609,2095,566,2197
chewie,827,348,38,2470
appcheck,849,349,344,1538
simple_gradient_text,880,350,346,1449
win32_registry,778,351,297,629
keyboard_dismisser,745,352,262,428
bottom_picker,811,353,267,1381
just_waveform,775,354,306,533
localstorage,815,355,211,1330
checks,928,356,316,2002
io,753,357,295,455
flutter_image_compress,673,358,47,358
diffutil_dart,769,359,277,544
flex_list,638,2187,1250,2813
auto_injector,1005,361,280,2511
horizontal_data_table,881,362,272,1376
group_list_view,816,363,315,1143
meta,998,364,357,2572
flutter_keyboard_visibility,686,365,51,365
flutter_screenutil,820,366,360,923
textfield_tags,737,367,264,399
file_manager,500,2860,1846,2860
flutter_hooks,815,369,40,908
currency_text_input_formatter,797,370,171,1143
delayed_display,777,371,205,453
csslib,793,372,329,1071
screenshot,830,373,371,937
app_settings,821,374,371,942
pasteboard,888,375,370,1602
rive,833,376,370,945
dart_ping_ios,499,2858,1781,2976
very_good_infinite_list,742,378,289,413
args,930,379,375,2507
pedometer,731,380,284,453
more,842,381,305,1451
dart_ping,752,382,308,426
modal_bottom_sheet,819,383,374,948
freezed_annotation,828,384,379,943
flutter_rating_bar,734,385,40,647
circular_menu,601,2092,374,2252
sign_in_button,745,387,344,516
google_ml_kit,817,388,157,1134
widgets_to_image,737,389,290,441
gaimon,797,390,334,707
floating,769,391,307,528
jailbreak_root_detection,545,2853,498,2853
slide_to_act,883,393,366,1557
web_socket,907,394,369,1803
native_image_cropper,601,2192,807,2287
queue,959,396,394,2648
slide_countdown,748,397,261,446
in_app_purchase,711,398,61,398
sidebarx,821,399,258,1115
record,698,400,80,400
page_transition,758,401,52,883
flutter_colorpicker,819,402,395,964
phone_input,660,2088,2057,2913
infinite_carousel,746,404,295,501
open_file,828,405,87,1007
debounce_throttle,903,406,403,1655
advertising_id,567,2193,1458,2193
installed_apps,825,408,327,1218
stomp_dart_client,795,409,342,1238
cli_completion,726,410,320,495
ota_update,883,411,319,1546
vertical_scrollable_tabview,579,2086,1967,2355
upgrader,703,413,58,592
jose,915,414,313,1737
built_collection,831,415,407,1143
dropdown_search,892,416,54,2571
intrinsic_dimension,627,2084,1224,2373
scroll_pos,909,418,412,1814
zxing2,765,419,330,575
faker,744,420,48,649
fpdart,925,421,415,2533
flutter_sticky_header,962,422,417,2329
cbl_flutter,619,2083,654,2083
sqlite3,817,424,97,1734
flutter_widget_from_html,722,425,69,601
nested,850,426,420,1241
flutter_typeahead,796,427,49,978
flutter_drawing_board,849,428,294,1611
appinio_video_player,604,2081,904,2081
appinio_swiper,759,430,279,462
flutter_pdfview,809,431,98,1003
