Name,Mover Score,Pub Rank,All time high pub rank,All time low pub rank
package name,Calculated score based on all the other metrics,current rank,highest ever package rank,lowest ever package rank
http,752,1,1,774
provider,681,2,1,4
path_provider,691,3,2,10
equatable,702,4,3,28
crypto,736,5,4,79
flutter_bloc,695,6,5,10
path,720,7,6,67
build_runner,741,8,8,79
firebase_core,816,9,7,798
cached_network_image,694,10,3,11
permission_handler,699,11,5,16
package_info_plus,705,12,10,26
image_picker,699,13,2,15
json_serializable,822,14,13,869
bloc,728,15,13,67
sqflite,715,16,16,33
riverpod,800,17,17,802
flutter_launcher_icons,830,18,17,815
flutter_lints,737,19,19,70
firebase_messaging,828,20,20,799
flutter_riverpod,780,21,21,812
share_plus,708,22,15,29
lottie,760,23,15,811
dio,768,24,7,788
logger,708,25,24,39
logging,745,26,26,116
flutter_cache_manager,775,27,27,819
shelf,747,28,25,136
shimmer,712,29,22,35
fl_chart,776,30,15,851
ulid4d,454,2994,2108,2994
animations,727,32,31,47
firebase_auth,834,33,30,794
win32,743,34,31,154
mocktail,737,35,34,152
built_value,740,36,36,89
cloud_firestore,824,37,34,802
google_maps_flutter,711,38,14,45
local_auth,711,39,39,48
google_sign_in,706,40,19,48
just_audio,768,41,41,840
firebase_analytics,827,42,40,837
flutter_hooks,857,43,43,908
chewie,901,44,41,2470
firebase_crashlytics,822,45,42,842
in_app_review,725,46,43,57
mime,751,47,44,129
retry,735,48,48,109
pdf,877,49,43,2429
google_mobile_ads,905,50,44,2483
referrer,511,2989,1215,2989
camera,715,52,29,65
table_calendar,887,53,31,2432
faker,744,54,48,158
flutter_dotenv,815,55,41,829
infinite_scroll_pagination,801,56,48,848
sign_in_with_apple,723,57,35,62
flutter_keyboard_visibility,739,58,51,79
mobile_scanner,723,59,46,69
octo_image,766,60,52,292
badges,718,61,36,62
flutter_image_compress,723,62,47,68
sliver_tools,737,63,56,118
app_links,718,64,61,77
pinput,727,65,41,73
drift,799,66,66,911
characters,751,67,58,206
bloc_test,753,68,61,185
flutter_rating_bar,727,69,40,74
location,722,70,29,79
printing,727,71,50,84
dartx,773,72,65,259
grouped_list,732,73,68,87
bloc_concurrency,746,74,69,130
toggle_switch,733,75,64,98
email_validator,721,76,68,87
firebase_remote_config,831,77,70,905
page_transition,769,78,52,883
flutter_map,804,79,51,963
petitparser,750,80,72,137
sensors_plus,750,81,80,140
animated_text_kit,848,82,82,985
synchronized,747,83,83,164
confetti,731,84,74,103
flutter_widget_from_html,730,85,69,95
gap,715,86,85,103
ffi,741,87,76,155
stack_trace,772,88,79,227
barcode,769,89,78,298
upgrader,725,90,58,99
vibration,725,91,86,108
hooks_riverpod,774,92,88,919
